company_name,ship_type,gt,dwt,length,width,age,imo,port_of_registry,fuel_consumption,total_co2_emissions,annual_hrs_at_sea,tech_eff_index,tech_eff_value,median_time_in_port_hours,cii_rating
GOLAR ARCTIC,LNG Tanker,94934,74894,280,43,22,9315173,Monrovia,4242.91,13301.88,2382.8,EIV,3.6,24.48,A
MILLIE,Bulk Carrier,94710,180311,295,46,16,9692363,Majuro,1106.85,3455.63,1140.12,EEDI,4.37,67.44,A
WANG MAY,Bulk Carrier,94528,180682,292,45,6,9391969,Majuro,689.19,2161.58,760.23,EEXI,3.54,19.44,A
MSC AGADIR,Container Ship,94453,112516,299,48,13,9619464,Hong Kong,11906.08,37088.88,3435.4,EEXI,10.9,15.600000000000001,D
JUDITH SCHULTE,Container Ship,94402,111861,300,48,12,9359260,Limassol,4479.57,14193.65,4447.18,EEXI,18.97,19.200000000000003,C
MARIGO P,Bulk Carrier,94009,179218,292,45,9,9689706,Piraeus,0.0,0.0,0.0,EEDI,2.52,60.480000000000004,A
VIENNA EXPRESS,Container Ship,93750,103648,335,43,15,9403205,Majuro,740.31,2310.73,829.41,EEXI,4.08,19.68,A
CAPE CORMORANT,Bulk Carrier,93719,181500,292,45,3,9498224,MAJURO,1773.26,5170.12,2145.32,EEXI,5.57,16.56,A
CAPE CORMORANT,Bulk Carrier,93719,181500,292,45,3,9942718,MONROVIA,1746.3,5457.71,1305.75,EEDI,2.24,27.36,A
CORCOVADO,Container Ship,93685,116933,300,48,10,9241463,Panama,737.15,2322.87,402.0,EEXI,14.03,14.399999999999999,A
CORCOVADO,Container Ship,93685,116933,300,48,10,9687564,Monrovia,11054.45,34446.4,3505.35,EEDI,10.08,16.080000000000002,D
PAROS,Bulk Carrier,93360,182060,292,45,15,9241774,Piraeus,9150.49,28519.36,3637.3,EIV,32.67,83.03999999999999,E
PAROS,Bulk Carrier,93360,182060,292,45,15,9592290,Piraeus,2594.6,8135.56,1449.7,EEXI,3.3,47.76,A
PAROS,Bulk Carrier,93360,182060,292,45,15,9711511,Piraeus,1150.25,3592.91,1629.3,EEDI,12.41,21.6,A
GENCO TIGER,Bulk Carrier,93290,179185,292,45,14,9307841,Monrovia,1006.2,3170.64,561.1,EEXI,17.21,27.36,A
CAPE KEYSTONE,Bulk Carrier,93227,179250,292,45,14,9463334,PANAMA,1869.73,5894.3,1106.0,EIV,3.19,65.03999999999999,A
CAPE KEYSTONE,Bulk Carrier,93227,179250,292,45,14,9498224,MAJURO,1773.26,5170.12,2145.32,EEXI,5.57,27.839999999999996,A
WINNING SPIRIT,Bulk Carrier,93175,179213,292,45,14,9273387,HAI PHONG,714.62,2230.34,553.9,EEXI,6.14,25.68,A
EREIKOUSSA,Bulk Carrier,92865,178896,292,45,13,9591739,PANAMA,2685.98,8374.41,1952.05,EEXI,2.4,8.879999999999999,A
THALASSINI NJORD,Bulk Carrier,92696,181218,292,45,9,9349227,Sneek,4169.42,13011.25,4561.25,EIV,31.59,20.64,E
THALASSINI NJORD,Bulk Carrier,92696,181218,292,45,9,9757838,Monrovia,2441.52,7649.96,1863.55,EEXI,2.39,8.16,C
NAVIOS CANARY,Bulk Carrier,92379,180528,292,45,10,9441271,Majuro,664.28,2078.74,564.38,EEXI,4.12,113.03999999999999,A
CAPE SUN,Bulk Carrier,92050,175611,292,45,15,9498224,MAJURO,1773.26,5170.12,2145.32,EEXI,5.57,16.32,A
CAPE SUN,Bulk Carrier,92050,175611,292,45,15,9546899,Hong Kong,3600.36,11266.12,2571.7,EEXI,2.42,67.19999999999999,A
CAPE SANDRA,Bulk Carrier,91910,175607,290,45,14,9446908,Majuro,1212.89,3777.09,612.0,EIV,3.27,43.68,A
CAPE SANDRA,Bulk Carrier,91910,175607,290,45,14,9498224,MAJURO,1773.26,5170.12,2145.32,EEXI,5.57,18.240000000000002,A
CAPE SANDRA,Bulk Carrier,91910,175607,290,45,14,9549669,Monrovia,1557.27,4949.03,3720.62,EEXI,9.85,17.52,A
CAPE SHANGHAI,Bulk Carrier,91625,176460,292,45,13,9498224,MAJURO,1773.26,5170.12,2145.32,EEXI,5.57,48.96,A
CASTA DIVA,Bulk Carrier,91373,177807,292,45,14,9609811,Monrovia,1402.65,4413.93,1542.6,EEXI,4.16,30.48,A
LILA NINGBO,Bulk Carrier,91178,175775,282,45,23,9278923,Belize,304.5,953.95,510.92,EIV,6.13,13.919999999999998,A
COSCO VIETNAM,Container Ship,91051,102875,334,43,14,9448815,Hong Kong,2490.57,7755.63,707.5,EEXI,11.12,37.44,A
MARAN TRANSPORTER,Bulk Carrier,90136,179719,292,45,15,8820858,Mariehamn,3266.09,10471.08,5505.98,EIV,17.1,35.519999999999996,E
MARAN ASTRONOMER,Bulk Carrier,90104,179719,292,45,13,9581239,Piraeus,1603.88,5042.55,983.0,EIV,3.15,62.400000000000006,A
WINNING LOYALTY,Bulk Carrier,90091,180310,289,45,21,9497488,MONROVIA,348.06,1110.15,309.3,EEXI,5.63,36.24,A
BRAVE SAILOR,Bulk Carrier,89991,176283,292,45,14,8401444,Tallinn,5257.14,16628.51,3533.8,EIV,13.3,54.0,A
BRAVE SAILOR,Bulk Carrier,89991,176283,292,45,14,9335068,Monrovia,1938.08,6142.88,1700.9,EEXI,5.17,45.12,A
